title,price,stock
Jobe Aero E-Duna SUP Board 11.6 Package,"£2,299.98",Call Us For A Leadtime
Jobe Aero Supersized SUP Board 15.0,"£1,599.98",Call Us For A Leadtime
Venture Prospector 165 Trilite Canoe,"£1,435.00",Call Us For A Leadtime
Venture Prospector 155 Trilite Canoe,"£1,384.99",Call Us For A Leadtime
Venture Ranger 162 Trilite Canoe,"£1,384.99",Call Us For A Leadtime
Verano California Duo Inflatable Kayak,"£1,349.99",Contact Us
Venture Ranger 149 Trilite Canoe,"£1,294.99",Call Us For A Leadtime
Venture Prospector 165 Corelite Canoe,"£1,260.00",Call Us For A Leadtime
Hou 16 Canoe,"£1,224.98",Call Us For A Leadtime
Venture Prospector 155 Corelite Canoe,"£1,210.00",Call Us For A Leadtime
Hou Prospector Canoe,"£1,199.99",Call Us For A Leadtime
Venture Ranger 162 Corelite Canoe,"£1,195.00",Call Us For A Leadtime
Hou 15 Canoe,"£1,159.98",Call Us For A Leadtime
Hou 14 Canoe,"£1,129.98",Some Colours/Sizes In Stock
Pyranha Fusion II Crossover Kayak (Stout 2 Outfitting),"£1,125.00",Some Colours/Sizes In Stock
Venture Ranger 149 Corelite Canoe,"£1,125.00",Some Colours/Sizes In Stock
Hou 13 Canoe,"£1,089.98",Call Us For A Leadtime
Wave Sport Horizon Tandem Kayak - Blackout,£979.00,Call Us For A Leadtime
Verano Cayman Duo Inflatable Kayak,£949.98,Contact Us
Venture Islay 12 Touring Kayak (Fit4 Sport  Outfitting),£895.00,Call Us For A Leadtime
Jobe Aero Neva SUP Board 12.6 Package,£849.98,In Stock
Dagger Axis E 10.5 Kayak,£849.00,Call Us For A Leadtime
Wilderness Systems Tarpon 120 Sit on Top Kayak,£829.00,Some Colours/Sizes In Stock
Pyranha Fusion II Crossover Kayak (Stout 1 Outfitting),£820.00,In Stock
Wave Sport Vista Tandem Kayak,£800.00,Call Us For A Leadtime
Verano Canyon Duo Inflatable Kayak,£799.98,In Stock
Wave Sport Ethos Crossover Kayak - Whiteout,£779.00,Some Colours/Sizes In Stock
Dagger Katana Kayak - Action Spec,£778.99,Some Colours/Sizes In Stock
Jobe Aero Loa SUP Board 11.6 Package,£769.98,In Stock
Jobe Aero Duna SUP Board 11.6 Package,£769.98,In Stock
Wilderness Systems Tarpon 100 Sit on Top Kayak,£759.00,Some Colours/Sizes In Stock
Dagger Axiom Kayak - Action Spec,£778.99,Some Colours/Sizes In Stock
Perception Expression 11 Kayak.,£729.00,Call Us For A Leadtime
Wave Sport Diesel Kayak - Whiteout,£729.00,Some Colours/Sizes In Stock
Jobe Aero Yarra SUP Board 10.6 Package Teal,£699.00,In Stock
Jobe Aero Yarra SUP Board 10.6 Package Red,£699.00,In Stock
Pyranha Fusion Sit on Top Kayak,£679.00,Call Us For A Leadtime
Palm Atom Whitewater Drysuit,£675.00,Some Colours/Sizes In Stock
Islander Paradise-2 Sit on Top Kayak,£658.99,Contact Us
Perception Prodigy 10 Kayak,£650.00,Call Us For A Leadtime
Islander Bolero Kayak,£679.00,Some Colours/Sizes In Stock
Wave Sport Gemini Sit on Top Kayak,£629.00,Call Us For A Leadtime
Perception Triumph 13 SOT Kayak,£629.00,Call Us For A Leadtime
Kayacat Puma,£850.00,Some Colours/Sizes In Stock
Pyranha Rebel Connect Outfitting,£625.00,Call Us For A Leadtime
Wave Sport D Series Kayak - Club Spec,£560.00,Contact Us
Wave Sport Gemini Rental SOT,£560.00,Call Us For A Leadtime
Perception Sundance 9.5,£550.00,Call Us For A Leadtime
Jobe Aero Leona SUP Board 10.6 Package,£549.98,Call Us For A Leadtime
Islander Calypso Sport Sit on Top Kayak,£529.00,Some Colours/Sizes In Stock
Wave Sport Scooter Sit on Top Kayak - Whiteout,£510.00,Call Us For A Leadtime
Dagger Dynamo Kayak - Action Spec,£508.99,Call Us For A Leadtime
Jobe Aero Mira SUP Board 10.0 Package,£499.98,Call Us For A Leadtime
Wave Sport Scooter Sit on Top Kayak - Rental,£460.00,Contact Us
Jobe Aero Yama SUP Board 8.6 Package,£449.99,Call Us For A Leadtime
Pyranha Surf Jet 2.0,£399.00,In Stock
Palm Atom Bib,£285.00,Some Colours/Sizes In Stock
Peak UK Storm Pants x3,£259.99,Call Us For A Leadtime
Peak UK Explorer Bib (Salopettes),£259.99,Some Colours/Sizes In Stock
Palm Chinook Women's Jacket,£220.00,Call Us For A Leadtime
Select X.One Paddle - Straight Shaft,£209.00,Some Colours/Sizes In Stock
Palm Terek Touring Cag,£199.99,Some Colours/Sizes In Stock
Kokatat Hydrus 3L Tempest Pants,£199.98,Some Colours/Sizes In Stock
Kokatat Hydrus3L Tempest Pants - Womens Fit,£199.98,Call Us For A Leadtime
Palm Atom Pants,£195.00,Some Colours/Sizes In Stock
Palm Atom Pants - Womens Fit,£195.00,Some Colours/Sizes In Stock
Werner Nantahala Canoe Paddle.,£189.98,Contact Us
Aqua Bound Manta Ray Hybrid 2pc Posi Lok,£154.99,In Stock
Aqua Bound Sting Ray Hybrid 2pc Posi Lok,£154.99,In Stock
Peak UK Storm Pants x2.5,£180.00,Call Us For A Leadtime
Peak UK River Wrap PFD,£175.00,Some Colours/Sizes In Stock
NRS Women's Riptide Splash Jacket,£159.95,Some Colours/Sizes In Stock
Palm Mistral Cag,£139.99,Call Us For A Leadtime
Werner Tybee FG Paddle,£139.98,Contact Us
Jobe SUP Pump 12V,£134.99,Call Us For A Leadtime
Jobe Fibreglass 3-Piece SUP Paddle,£134.99,In Stock
NRS Stratos Paddling Jacket,£149.94,Some Colours/Sizes In Stock
Grey Owl Hammerhead Canoe Paddle,£134.94,In Stock
Watershed Aleutian Deck Bag,£139.98,Call Us For A Leadtime
Peak UK Ocean Wrap PFD,£154.99,Some Colours/Sizes In Stock
Werner Rio Paddle,£144.98,Contact Us
Peak UK River Guide Whitewater Buoyancy Aid,£148.99,In Stock
Werner Luna Canoe Paddle,£139.98,In Stock
Palm Peyto Buoyancy Aid - Womens - 2021,£124.99,Call Us For A Leadtime
Palm Peyto Buoyancy Aid - 2021,£124.99,Call Us For A Leadtime
Palm Vantage Touring Cag,£124.99,Some Colours/Sizes In Stock
Peak UK Semi Pants,£135.00,Call Us For A Leadtime
Palm Vertigo Semi-Dry Cag,£115.00,Some Colours/Sizes In Stock
Palm FX Buoyancy Aid,£115.00,Some Colours/Sizes In Stock
Peak UK Explorer Zip PFD,£135.00,Some Colours/Sizes In Stock
NRS Ninja Buoyancy Aid,£124.94,Contact Us
NRS Quest Adjustable SUP Paddle,£124.94,In Stock
Palm Vantage Touring Cag - Womens Fit,£124.99,Some Colours/Sizes In Stock
Astral Hiyak Water Boots,£117.00,In Stock
Astral Rassler 2.0 Boots,£117.00,In Stock
Palm Drift-Pro 2-Piece Paddle,£100.00,Call Us For A Leadtime
Ainsworth ABS Ocean Two Piece Glass Straight Shaft P...,£104.99,Some Colours/Sizes In Stock
Palm Maverick G1 (2 Piece) Paddle,£105.00,Call Us For A Leadtime
Palm Hydro Buoyancy Aid,£94.99,Some Colours/Sizes In Stock
Yak Chinook Dry Trousers,£106.99,Some Colours/Sizes In Stock
Palm Ace Buoyancy Aid,£90.00,Some Colours/Sizes In Stock
Palm Vector Recreational Cag,£90.00,Some Colours/Sizes In Stock
Palm Vector Recreational Cag - Women's Fit,£90.00,Call Us For A Leadtime
Palm Quantum Longjohn Wetsuit,£90.00,Some Colours/Sizes In Stock
Palm Quantum Longjohn Wetsuit (Womens),£90.00,Some Colours/Sizes In Stock
Grey Owl Voyageur Canoe Paddle,£89.94,In Stock
Palm Rocket (Kids) Cag,£85.00,Some Colours/Sizes In Stock
TrueFit Spraydeck,From £85.00,Call Us For A Leadtime
Palm Drift-Lite Paddle,£85.00,Call Us For A Leadtime
NRS Ion Buoyancy Aid,£94.94,Some Colours/Sizes In Stock
NRS Women's Siren PFD,£94.94,Some Colours/Sizes In Stock
Grey Owl Beavertail Canoe Paddle,£84.95,In Stock
NRS Hydroskin 0.5 Long Sleeved Shirt - Womens Fit,£94.94,Contact Us
Palm Meander Buoyancy Aid - Women's Fit,£79.99,Pre-order Now
Palm Meander Buoyancy Aid - 2021,From £79.99,Pre-order Now
Yak Xipe PFD,£91.00,Some Colours/Sizes In Stock
Astral Brewer 2.0 Mens Water Shoe,£87.00,In Stock
Astral Brewess 2.0 Womens Water Shoe,£87.00,In Stock
Streamlyte Kidstix Paddle,£79.99,Some Colours/Sizes In Stock
